name,prefecture,city,url,mola_star,lat,lng,has_penguin,penguin_source_url,penguin_checked_at,penguin_status,has_dolphin,has_sealion,has_orca,has_jellyfish,animal_checked_at,is_closed,closed_at
札幌市豊平川さけ科学館,北海道,札幌市,https://salmon-museum.jp/,0,43.0010659,141.343248,false,https://salmon-museum.jp/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
サンピアザ水族館,北海道,札幌市,http://www.sunpiazza-aquarium.com/,0,43.036808,141.4717964,true,http://www.sunpiazza-aquarium.com/,2026/2/26,unknown,false,true,false,false,2026-03-05,FALSE,
AOAO SAPPORO,北海道,札幌市,https://aoao-sapporo.blue/,0,43.057763,141.3535774,true,https://aoao-sapporo.blue/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
サケのふるさと千歳水族館,北海道,千歳市,https://chitose-aq.jp/,0,42.8329229,141.6591748,false,https://chitose-aq.jp/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
おたる水族館,北海道,小樽市,https://otaru-aq.jp/,0,43.237007,141.0114018,true,https://otaru-aq.jp/,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
登別マリンパークニクス,北海道,小樽市,https://www.nixe.co.jp/,0,42.4550334,141.1827924,true,https://www.nixe.co.jp/,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
市立室蘭水族館,北海道,室蘭市,http://iburi.net/murosui/index.html,0,42.3398313,140.9439762,true,http://iburi.net/murosui/index.html,2026/2/26,unknown,false,false,false,true,2026-03-05,FALSE,
函館朝市ミニ水族館,北海道,函館市,https://event.hakobura.jp/6137,0,41.768793,140.729008,unknown,https://event.hakobura.jp/6137,2026/2/26,,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
標津サーモン科学館,北海道,標津町,http://s-salmon.com/,0,43.6592967,145.1151733,unknown,http://s-salmon.com/,2026/2/26,,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
おんねゆ温泉「北の大地の水族館」（山の水族館）,北海道,北見市,https://onneyu-aq.com/,0,43.8029391,143.8946351,false,https://onneyu-aq.com/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
くしろ水族館　ぷくぷく,北海道,釧路市,https://www.sennosuke.net/pukupuku/,0,42.9849503,144.3820491,false,https://www.sennosuke.net/pukupuku/,2026/2/26,unknown,false,false,false,true,2026-03-04,FALSE,
水族館プティ,北海道,厚岸町,https://www.conchiglie.net/facility,0,43.0518221,144.8476917,false,https://www.conchiglie.net/facility,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
氷海展望塔オホーツクタワー,北海道,紋別市,https://o-tower.co.jp/okhotsktower.html,0,44.3565151,143.3545224,false,https://o-tower.co.jp/okhotsktower.html,2026/2/26,unknown,false,true,false,false,2026-03-04,FALSE,
わっかりうむ ノシャップ寒流水族館,北海道,稚内市,https://www.city.wakkanai.hokkaido.jp/suizokukan/,0,45.415737,141.6739836,true,https://www.city.wakkanai.hokkaido.jp/suizokukan/,2026/2/26,unknown,false,true,false,false,2026-03-05,FALSE,
旭川市 旭山動物園,北海道,旭川市,https://www.city.asahikawa.hokkaido.jp/asahiyamazoo/,0,43.7686424,142.4792729,true,https://www.city.asahikawa.hokkaido.jp/asahiyamazoo/,2026/2/26,unknown,false,true,false,true,2026-03-05,FALSE,
美深チョウザメ館,北海道,美深町,https://www.bifukaonsen.com/sturgeon/,0,44.5572161,142.3245838,false,https://www.bifukaonsen.com/sturgeon/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
青森県営浅虫水族館,青森県,青森市,http://asamushi-aqua.com/,0,40.8222833,140.7472027,false,http://asamushi-aqua.com/,2026/2/26,unknown,true,true,false,true,2026-03-04,FALSE,
八戸市水産科学館マリエント,青森県,八戸市,http://www.marient.org/,0,40.5396437,141.5627763,unknown,http://www.marient.org/,2026/2/26,unknown,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
久慈地下水族科学館 もぐらんぴあ,岩手県,久慈市,http://www.moguranpia.com/,0,40.1904323,141.7756812,unknown,http://www.moguranpia.com/,2026/2/26,unknown,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
岩手県立水産科学館,岩手県,宮古市,https://www.city.miyako.iwate.jp/gyosei/soshiki/suisan/2/1/1/1759.html,0,39.6395835,141.9461177,false,https://www.city.miyako.iwate.jp/gyosei/soshiki/suisan/2/1/1/1759.html,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
男鹿水族館GAO,青森県,男鹿市,http://www.gao-aqua.jp/,0,39.9440945,139.7184133,true,http://www.gao-aqua.jp/,2026/2/26,unknown,false,true,false,false,2026-03-04,FALSE,
アクアテラス錦ケ丘,宮城県,仙台市,https://aquaterrace.co.jp/,0,38.2677554,140.8691498,false,https://aquaterrace.co.jp/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
仙台うみの杜水族館,宮城県,仙台市,http://www.uminomori.jp/umino/index.html,0,38.2710627,140.9804667,unknown,http://www.uminomori.jp/umino/index.html,2026/2/26,unknown,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
仙台市八木山動物公園,宮城県,仙台市,http://www.city.sendai.jp/zoo/index.html,0,38.2457859,140.8460443,false,http://www.city.sendai.jp/zoo/index.html,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
登米市伊豆沼・内沼サンクチュアリセンター（淡水魚館）,宮城県,仙台市,http://izunuma.org/1_3.html,0,38.7139179,141.1221473,false,http://izunuma.org/1_3.html,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
鶴岡市立加茂水族館,山形県,鶴岡市,https://kamo-kurage.jp/,0,38.7616467,139.7246984,true,https://kamo-kurage.jp/,2026/2/26,unknown,false,false,false,true,2026-03-05,FALSE,
アクアマリンふくしま,福島県,いわき市,https://www.aquamarine.or.jp/,0,36.9425928,140.9010779,false,https://www.aquamarine.or.jp/,2026/2/26,unknown,false,true,false,false,2026-03-04,FALSE,
アクアマリンいなわしろカワセミ水族館,福島県,猪苗代市,https://www.aquamarine.or.jp/kawasemi/,0,37.6759747,140.2423537,false,https://www.aquamarine.or.jp/kawasemi/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
栃木県なかがわ水遊園,栃木県,大田原市,https://tnap.jp/,0,36.7886682,140.1290051,false,https://tnap.jp/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
道の駅 水紀行館 水産学習館,群馬県,みなかみ市,http://www9.wind.ne.jp/mizukikou/frame.htm,0,36.6916153,138.9833065,false,http://www9.wind.ne.jp/mizukikou/frame.htm,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
桐生が岡動物園,群馬県,桐生市,http://www.city.kiryu.lg.jp/zoo/index.html,0,36.4206189,139.3397621,unknown,http://www.city.kiryu.lg.jp/zoo/index.html,2026/2/26,,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
アクアワールド 茨城県大洗水族館,茨城県,大洗町,http://www.aquaworld-oarai.com/,0,36.3333185,140.593871,true,http://www.aquaworld-oarai.com/,2026/2/26,unknown,true,true,false,true,2026-03-04,FALSE,
かすみがうら市水族館,茨城県,かすみがうら市,http://www.dane-kerry.com/aquarium/,0,36.0716321,140.3760291,true,http://www.dane-kerry.com/aquarium/,2026/2/26,unknown,false,true,false,true,2026-03-05,FALSE,
さいたま水族館,埼玉県,羽生市,http://www.parks.or.jp/suizokukan/,0,36.1731966,139.5978047,false,http://www.parks.or.jp/suizokukan/,2026/2/26,,false,false,false,false,2026-03-05,FALSE,
埼玉県立川の水族館,埼玉県,寄居町,https://www.river-museum.jp/,0,36.1182741,139.1927779,false,https://www.river-museum.jp/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
鴨川シーワールド,千葉県,鴨川市,http://www.kamogawa-seaworld.jp/,0,35.1152464,140.1190315,true,http://www.kamogawa-seaworld.jp/,2026/2/26,unknown,true,true,true,true,2026-03-05,FALSE,
みなとオアシス「渚の駅たてやま」海辺の広場,千葉県,館山市,https://www.city.tateyama.chiba.jp/minato/page100102.html,0,34.9965304,139.8699838,false,https://www.city.tateyama.chiba.jp/minato/page100102.html,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
板橋区立熱帯環境植物館,東京都,板橋区,https://www.seibu-la.co.jp/nettaikan/,0,35.7512814,139.7087794,false,https://www.seibu-la.co.jp/nettaikan/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
足立区生物園,東京都,足立区,https://seibutuen.jp/,0,35.7923576,139.8071899,false,https://seibutuen.jp/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
しながわ水族館,東京都,品川区,https://www.aquarium.gr.jp/,0,35.5886394,139.7374728,true,https://www.aquarium.gr.jp/,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
マクセル アクアパーク品川,東京都,港区,http://www.aqua-park.jp/aqua/index.html,0,35.628389,139.7357544,true,http://www.aqua-park.jp/aqua/index.html,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
UWS AQUARIUM GA☆KYO,東京都,港区,https://uws-gakyo.com/,0,35.6580089,139.7515137,false,https://uws-gakyo.com/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
すみだ水族館,東京都,墨田区,https://www.sumida-aquarium.com/,0,35.7101011,139.8093338,true,https://www.sumida-aquarium.com/,2026/2/26,unknown,false,true,false,true,2026-03-05,FALSE,
